17797619,Pihu Manne,Uber,2024-11-10,2024-11,11673,0.12,1400.76,Card Not Present,Medium,57,0,High,0,0,Rupay,ICICI Bank,Transportation,Telangana,Bangalore
50040671,Hiran Vaidya,Zomato,2024-05-20,2024-05,16594,0.05,829.7,Phishing,Medium,10,0,Low,1,0,Amex,SBI,Groceries,Maharashtra,Bangalore
88177651,Shalv Vasa,Myntra,2024-05-28,2024-05,23347,0.12,2801.64,Card Skimming,Medium,55,0,High,1,0,Visa,HDFC Bank,Transportation,Uttar Pradesh,Ahmedabad
24228305,Taran Shanker,Lifestyle,2024-01-09,2024-01,20753,0.12,2490.36,Card Skimming,Low,30,0,Medium,1,0,Visa,Federal Bank,E-commerce,Kerala,Lucknow
87307869,Shanaya Kara,Tata Cliq,2024-07-27,2024-07,6432,0.18,1157.76,Card Skimming,Low,86,0,Very High,0,0,Amex,SBI,Electronics,Delhi,Hyderabad
25042953,Eshani Batta,Lifestyle,2023-12-20,2023-12,4586,0.12,550.3199999999999,Card Skimming,Critical,80,0,Very High,0,0,Amex,Andhra Bank,E-commerce,West Bengal,Hyderabad
13457605,Advik Jayaraman,Flipkart,2023-12-26,2023-12,2202,0.12,264.24,Account Takeover,Medium,95,0,Very High,0,0,Amex,Bank of Baroda,Apparel,Tamil Nadu,Mumbai
95389887,Drishya Bhandari,Lifestyle,2024-01-05,2024-01,17709,0.12,2125.08,Card Not Present,High,56,0,High,1,0,Visa,HDFC Bank,E-commerce,Karnataka,Jaipur
66937046,Mannat Kothari,Zomato,2024-11-09,2024-11,1613,0.12,193.56,Phishing,Low,92,1,Very High,0,1613,Rupay,HDFC Bank,Food Delivery,Uttar Pradesh,Bangalore
39375009,Aradhya Khosla,Lifestyle,2024-10-22,2024-10,21623,0.12,2594.7599999999998,Card Skimming,Low,66,0,High,1,0,Visa,Bank of Baroda,Apparel,West Bengal,Delhi
26313417,Lakshay Ravi,Lifestyle,2024-10-08,2024-10,7180,0.12,861.6,Card Skimming,Critical,90,0,Very High,0,0,Visa,Yes Bank,Apparel,Telangana,Mumbai
53768437,Tushar Kara,Amazon India,2024-11-16,2024-11,1562,0.12,187.44,Identity Theft,Low,46,0,Medium,0,0,Mastercard,Bank of Baroda,E-commerce,Kerala,Kolkata
49564502,Shamik Sharaf,Big Bazaar,2024-12-05,2024-12,1521,0.12,182.51999999999998,Card Skimming,Medium,25,1,Low,0,1521,Visa,HDFC Bank,Food Delivery,Karnataka,Ahmedabad
46575685,Shray Dutt,Reliance Digital,2024-01-26,2024-01,18563,0.12,2227.56,Account Takeover,Low,19,0,Low,1,0,Rupay,ICICI Bank,Transportation,Delhi,Bangalore
85972172,Prisha Mannan,Reliance Digital,2024-05-29,2024-05,4486,0.12,538.3199999999999,Card Skimming,High,43,1,Medium,0,4486,Visa,Kotak Bank,E-commerce,Maharashtra,Ahmedabad
74522267,Zeeshan Lalla,Big Bazaar,2024-08-21,2024-08,11710,0.12,1405.2,Account Takeover,Medium,76,0,Very High,0,0,Amex,Yes Bank,Food Delivery,Gujarat,Delhi
26829430,Tarini Bedi,Tata Cliq,2024-09-21,2024-09,24725,0.12,2967,Card Not Present,Low,85,0,Very High,1,0,Amex,Kotak Bank,Transportation,Karnataka,Ahmedabad
76910814,Nehmat Upadhyay,Tata Cliq,2024-12-14,2024-12,3192,0.12,383.03999999999996,Identity Theft,Medium,31,1,Medium,0,3192,Rupay,Bank of Baroda,Transportation,Kerala,Lucknow
37342915,Rohan Sood,Uber,2024-06-13,2024-06,950,0.18,171,Card Skimming,Low,88,0,Very High,0,0,Rupay,Axis Bank,Electronics,Uttar Pradesh,Jaipur
70649904,Jivika Singhal,Amazon India,2023-12-25,2023-12,7021,0.18,1263.78,Phishing,Low,42,1,Medium,0,7021,Amex,SBI,Electronics,Maharashtra,Chennai
80346732,Adah Chaudhry,Reliance Digital,2024-08-23,2024-08,7932,0.18,1427.76,Card Skimming,High,39,1,Medium,0,7932,Mastercard,Bank of Baroda,Electronics,Maharashtra,Kochi
39217230,Saksham Rastogi,Uber,2024-10-15,2024-10,7249,0.12,869.88,Phishing,Low,41,0,Medium,0,0,Visa,SBI,Apparel,Kerala,Delhi
29894081,Veer Sridhar,Reliance Digital,2024-10-08,2024-10,12194,0.18,2194.92,Card Skimming,High,37,1,Medium,0,12194,Visa,ICICI Bank,Electronics,Karnataka,Kochi
41533703,Kanav Chaudhary,Zomato,2024-07-10,2024-07,24114,0.12,2893.68,Card Not Present,Medium,67,0,High,1,0,Amex,SBI,Food Delivery,Maharashtra,Mumbai
50613866,Rasha Reddy,Big Bazaar,2024-09-10,2024-09,2983,0.18,536.9399999999999,Card Skimming,Critical,85,1,Very High,0,2983,Mastercard,Bank of Baroda,Electronics,Karnataka,Lucknow
74550146,Tiya Bir,Amazon India,2024-01-05,2024-01,9673,0.12,1160.76,Account Takeover,Low,91,0,Very High,0,0,Visa,Bank of Baroda,Food Delivery,Gujarat,Chennai
